Customer Key,customer_name,order_count,total_sales,total_profit,avg_discount,total_quantity,unique_subcategories,last_order_date,first_order_date,avg_order_value,recency_days,active_days,profit_margin,cluster
TC-20980,Tamara Chand,2,18437.138000000003,0.0,0.0,7.0,5,2017-02-10,2015-07-11,9218.569000000001,670,580,0.0,1
BM-11140,Becky Martin,3,11432.84,0.0,0.0,15.0,11,2017-04-12,2015-08-09,3810.9466666666667,609,612,0.0,1
SE-20110,Sanjit Engle,5,10402.534000000001,0.0,0.0,12.0,8,2017-11-06,2015-11-04,2080.5068,401,733,0.0,1
KF-16285,Karen Ferguson,4,9536.564,0.0,0.0,10.0,7,2018-11-09,2017-10-03,2384.141,33,402,0.0,1
GT-14635,Grant Thornton,3,9351.212,0.0,0.0,6.0,5,2018-04-11,2015-06-06,3117.0706666666665,245,1040,0.0,1
CJ-12010,Caroline Jumper,4,9166.278,0.0,0.0,12.0,10,2018-01-05,2017-03-12,2291.5695,341,299,0.0,1
ME-17320,Maria Etezadi,5,8866.712,0.0,0.0,15.0,8,2018-12-06,2015-06-01,1773.3424,6,1284,0.0,1
KD-16270,Karen Daniels,5,8282.358,0.0,0.0,16.0,10,2017-04-06,2015-11-11,1656.4716,615,512,0.0,1
DR-12940,Daniel Raglin,4,7426.900000000001,0.0,0.0,9.0,5,2018-11-08,2016-01-09,1856.725,34,1034,0.0,1
AB-10060,Adam Bellavance,4,7354.214,0.0,0.0,12.0,5,2018-07-05,2017-01-09,1838.5535,160,542,0.0,1
KD-16495,Keith Dawkins,5,7279.562,0.0,0.0,16.0,10,2018-09-09,2016-01-12,1455.9124,94,971,0.0,1
NP-18700,Nora Preis,4,7174.7185,0.0,0.0,7.0,4,2017-12-08,2015-05-09,1793.679625,369,944,0.0,1
TS-21370,Todd Sumrall,3,6856.017,0.0,0.0,7.0,6,2018-11-05,2016-11-07,2285.339,37,728,0.0,1
Dp-13240,Dean percer,5,6221.049,0.0,0.0,17.0,9,2018-07-10,2015-11-10,1244.2098,155,973,0.0,1
BH-11710,Brosina Hoffman,5,6011.232,0.0,0.0,17.0,10,2018-07-12,2015-09-06,1202.2464,153,1040,0.0,1
NC-18535,Nick Crebassa,3,5741.405,0.0,0.0,5.0,4,2018-10-11,2018-01-04,1913.8016666666665,62,280,0.0,1
GM-14695,Greg Maxwell,2,5574.272,0.0,0.0,6.0,5,2018-04-09,2015-05-04,2787.136,247,1071,0.0,1
NM-18445,Nathan Mautz,3,5321.484,0.0,0.0,8.0,7,2015-08-04,2015-04-11,1773.8280000000002,1226,115,0.0,1
LW-17215,Luke Weiss,5,5124.192,0.0,0.0,10.0,8,2018-11-04,2015-12-09,1024.8384,38,1061,0.0,1
QJ-19255,Quincy Jones,6,4947.477999999999,0.0,0.0,7.0,6,2018-05-12,2015-01-06,824.5796666666665,214,1222,0.0,1
IL-15100,Ivan Liston,6,4925.599999999999,0.0,0.0,13.0,11,2018-10-08,2015-01-08,820.9333333333333,65,1369,0.0,1
VD-21670,Valerie Dominguez,3,4733.23,0.0,0.0,12.0,8,2016-05-11,2015-04-08,1577.7433333333336,945,399,0.0,1
BB-11545,Brenda Bowman,5,4708.908,0.0,0.0,10.0,6,2018-12-08,2016-05-06,941.7816,4,946,0.0,1
LR-16915,Lena Radford,5,4702.748,0.0,0.0,13.0,9,2018-04-12,2015-08-08,940.5495999999999,244,978,0.0,1
DW-13480,Dianna Wilson,3,4658.538,0.0,0.0,8.0,7,2017-12-11,2015-01-06,1552.8459999999998,366,1070,0.0,1
RL-19615,Rob Lucas,4,4608.125,0.0,0.0,19.0,12,2018-07-07,2015-05-12,1152.03125,158,1152,0.0,1
WB-21850,William Brown,6,4559.547,0.0,0.0,23.0,12,2018-11-11,2015-04-11,759.9245,31,1310,0.0,1
SP-20620,Stefania Perrino,5,4459.1230000000005,0.0,0.0,15.0,10,2018-09-09,2015-08-09,891.8245999999999,94,1127,0.0,1
AA-10315,Alex Avila,2,4433.032,0.0,0.0,5.0,5,2017-03-03,2016-04-10,2216.516,649,327,0.0,1
TW-21025,Tamara Willingham,2,4278.610000000001,0.0,0.0,6.0,5,2016-05-09,2016-01-12,2139.3050000000003,947,118,0.0,1
JK-15640,Jim Kriz,2,4261.5,0.0,0.0,5.0,4,2018-03-07,2016-11-12,2130.75,280,480,0.0,1
KT-16480,Kean Thornton,4,4240.492,0.0,0.0,6.0,5,2017-10-09,2015-08-05,1060.123,429,796,0.0,1
DB-13270,Deborah Brumfield,5,4161.652,0.0,0.0,9.0,8,2018-07-11,2015-04-02,832.3304,154,1196,0.0,1
KH-16510,Keith Herrera,2,4055.487,0.0,0.0,10.0,7,2018-08-12,2015-05-10,2027.7435,122,1190,0.0,1
CM-12715,Craig Molinari,3,3915.9224,0.0,0.0,10.0,6,2016-01-03,2015-07-03,1305.3074666666666,1074,184,0.0,1
PO-19180,Philisse Overcash,4,3866.6349999999998,0.0,0.0,11.0,10,2017-12-09,2016-10-11,966.65875,368,424,0.0,1
EP-13915,Emily Phan,8,3828.2788,0.0,0.0,15.0,9,2018-12-11,2015-06-07,478.53485,1,1283,0.0,1
NP-18325,Naresj Patel,3,3817.888,0.0,0.0,13.0,9,2018-05-12,2016-06-12,1272.6293333333333,214,699,0.0,1
KC-16540,Kelly Collister,2,3802.91,0.0,0.0,3.0,2,2017-11-09,2016-02-11,1901.455,398,637,0.0,1
BM-11650,Brian Moss,3,3774.973,0.0,0.0,10.0,7,2018-09-11,2015-09-07,1258.3243333333335,92,1100,0.0,1
VW-21775,Victoria Wilson,6,3755.732,0.0,0.0,12.0,11,2018-11-02,2015-11-05,625.9553333333333,40,1093,0.0,1
JE-15610,Jim Epp,3,3703.152,0.0,0.0,10.0,6,2018-12-11,2016-11-06,1234.384,1,765,0.0,1
NW-18400,Natalie Webber,3,3598.987,0.0,0.0,8.0,8,2018-11-07,2016-08-05,1199.6623333333334,35,824,0.0,1
CM-12655,Corinna Mitchell,4,3595.608,0.0,0.0,6.0,6,2018-03-12,2016-03-11,898.902,275,731,0.0,1
TB-21175,Thomas Boland,4,3589.296,0.0,0.0,11.0,8,2018-02-11,2015-08-12,897.324,304,914,0.0,1
DK-12895,Dana Kaydos,2,3589.0480000000002,0.0,0.0,11.0,10,2018-12-08,2016-08-03,1794.524,4,857,0.0,1
SP-20920,Susan Pistek,1,3588.096,0.0,0.0,5.0,3,2017-12-11,2017-12-11,3588.096,366,0,0.0,1
JP-15520,Jeremy Pistek,3,3573.434,0.0,0.0,12.0,7,2018-08-12,2015-09-11,1191.1446666666668,122,1066,0.0,1
LB-16795,Laurel Beltran,5,3517.472,0.0,0.0,16.0,9,2018-09-05,2017-01-09,703.4944,98,604,0.0,1
BE-11335,Bill Eplett,1,3480.96,0.0,0.0,3.0,3,2018-02-09,2018-02-09,3480.96,306,0,0.0,1
JF-15565,Jill Fjeld,5,3470.786,0.0,0.0,12.0,9,2018-06-11,2015-11-10,694.1572,184,944,0.0,1
PP-18955,Paul Prost,4,3453.344,0.0,0.0,23.0,13,2017-10-11,2015-08-09,863.336,427,794,0.0,1
FH-14275,Frank Hawley,5,3422.248,0.0,0.0,14.0,9,2018-10-11,2015-06-04,684.4496,62,1225,0.0,1
PS-19045,Penelope Sewall,3,3389.8320000000003,0.0,0.0,3.0,3,2018-08-05,2017-07-11,1129.9440000000002,129,390,0.0,1
RH-19510,Rick Huthwaite,1,3384.45,0.0,0.0,2.0,2,2017-10-03,2017-10-03,3384.45,435,0,0.0,1
MM-17920,Michael Moore,4,3327.084,0.0,0.0,6.0,4,2018-04-09,2016-10-01,831.771,247,555,0.0,1
EM-14140,Eugene Moren,3,3279.57,0.0,0.0,11.0,7,2018-12-11,2016-07-03,1093.19,1,891,0.0,1
CL-12565,Clay Ludtke,6,3232.852,0.0,0.0,13.0,7,2017-08-05,2015-02-09,538.8086666666667,494,908,0.0,1
MG-17650,Matthew Grinstein,4,3222.0099999999998,0.0,0.0,10.0,6,2018-12-10,2015-09-08,805.5024999999999,2,1189,0.0,1
BW-11110,Bart Watters,3,3174.514,0.0,0.0,3.0,3,2018-07-01,2017-08-10,1058.1713333333335,164,325,0.0,1
